,id,name,review_count,rating,phone,display_phone,price,coord_lat,coord_long,is_bakeries,is_desserts,is_icecream,is_cafe,is_donuts,is_cakeshop,is_bubbletea,is_chocolate,is_cupcakes,is_Other,rand_imp_price,knn_imp_price,is_successful,County
1,-k_5NsYnKCHGTdBaqegkrw,Le Fournil,4.770684624465665,20.25,0,0,2.0,40.727947,-73.988489,1,0,0,0,0,0,0,0,0,0,2.0,2.0,1,Manhattan
2,0kW0112jMERVjpRzWT4F7Q,La Bicyclette Bakery,4.430816798843313,25.0,1,1,,40.714400045936806,-73.95911000669003,1,0,0,0,0,0,0,0,0,0,1.0,2.0,1,Brooklyn
3,XSwagBljEsxG2i1rq4GEAQ,Almondine Bakery,6.0014148779611505,16.0,1,1,2.0,40.7033174,-73.9912506,1,0,0,0,0,0,0,0,0,0,2.0,2.0,1,Brooklyn
4,fPQ2eE9lm8tc87O5-GLjyA,Mille-Feuille Bakery,6.089044875446846,20.25,1,1,2.0,40.782425,-73.9811603,1,0,0,0,0,0,0,0,0,0,2.0,2.0,1,Manhattan
5,ga6sRtE0l85iftw_5-W84Q,Dominique Ansel Bakery,8.591186871324563,16.0,1,1,2.0,40.72516,-74.00296,1,1,0,0,0,0,0,0,0,0,2.0,2.0,1,Manhattan
7,KgpOYAG-r_eDsQXFXt0nnQ,Balthazar,8.193953023563742,16.0,1,1,3.0,40.7226892950401,-73.9982149184027,0,0,0,0,0,0,0,0,0,0,3.0,3.0,1,Manhattan
8,xTnivXEdEtXrnhp-z4JGvg,La Parisienne,6.736966958001855,20.25,1,1,2.0,40.70961,-74.0093799,0,0,0,1,0,0,0,0,0,1,2.0,2.0,1,Manhattan
9,KakiWGOfm_h5rEqOyKD7zQ,Dominique Ansel Workshop,5.25227342804663,16.0,1,1,2.0,40.74368,-73.98658,1,0,0,0,0,0,0,0,0,0,2.0,2.0,1,Manhattan
10,b5x-Fw7I7Y88TdFIzvbsnw,Supermoon Bakehouse,6.893656354602635,20.25,1,1,2.0,40.71991,-73.9872,1,1,0,0,0,0,0,0,0,0,2.0,2.0,1,Manhattan
13,YnPNXJvUsn2jymwBeLpQ4g,Mille-Feuille Bakery,5.043425116919247,20.25,1,1,,40.677621,-73.96912,1,0,0,0,0,0,0,0,0,1,1.0,2.0,1,Brooklyn
15,inrdLiBjiJ_ngHXirw4pPg,Lysee,5.327876168789581,16.0,0,0,3.0,40.73917,-73.98819,0,1,0,0,0,0,0,0,0,1,3.0,3.0,1,Manhattan
16,jWC4mD-yy-IzuZxU5ctAKw,Mia's Bakery,6.9957661563048505,20.25,1,1,2.0,40.6870199,-73.9901299,1,1,0,1,0,0,0,0,0,0,2.0,2.0,1,Brooklyn
17,iTcxncdrcQRK1tdcbFIqGQ,Aux Merveilleux De Fred,6.124683390894205,20.25,1,1,2.0,40.73835064346807,-74.00412204723874,1,1,0,0,0,1,0,0,0,0,2.0,2.0,1,Manhattan
20,meVzfRH_wLAJjcrCAhkh1g,Patisserie Chanson,6.226536669287466,16.0,1,1,2.0,40.7417,-73.990571,1,1,0,0,0,0,0,0,0,0,2.0,2.0,1,Manhattan
21,fvDZVAvv_g4L-WWkbDpCXg,Patisserie Claude,5.60947179518496,16.0,1,1,1.0,40.7327402,-74.0018208,1,1,0,1,0,0,0,0,0,0,1.0,1.0,1,Manhattan
23,aSDGr4NIfm1C6IspWSNaQw,Orwashers,6.244166900663736,16.0,1,1,2.0,40.772191,-73.95505,1,0,0,0,0,0,0,0,0,0,2.0,2.0,1,Manhattan
24,Sgh7Uar8wv6WKA-UZ7hcXA,Balthazar Boulangerie,5.976350909297934,16.0,1,1,2.0,40.72276,-73.99842,1,1,0,0,0,0,0,0,0,0,2.0,2.0,1,Manhattan
30,WHRHK3S1mQc3PmhwsGRvbw,Bibble & Sip,8.644178203170727,20.25,1,1,2.0,40.7628355,-73.98518009478293,1,1,0,0,0,0,0,0,0,0,2.0,2.0,1,Manhattan
31,bvc5P9vmRiNhyVWjd5bVcg,Eclair Bakery,6.588926477533519,20.25,1,1,2.0,40.756689,-73.966617,1,0,0,0,0,0,0,0,0,1,2.0,2.0,1,Manhattan
