id,alias,name,image_url,is_closed,url,review_count,categories,rating,coordinates,transactions,price,location,phone,display_phone,distance
AI680OnsLsoCro-0hYF1aQ,michaeli-bakery-new-york-2,Michaeli Bakery,https://s3-media3.fl.yelpcdn.com/bphoto/yy3ekKKH5CI0e6kglDx7gQ/o.jpg,False,https://www.yelp.com/biz/michaeli-bakery-new-york-2?adjust_creative=Mra4JCUPAsrzN2f8nCOuQg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mra4JCUPAsrzN2f8nCOuQg,158,"[{'alias': 'bakeries', 'title': 'Bakeries'}, {'alias': 'desserts', 'title': 'Desserts'}]",5.0,"{'latitude': 40.714349, 'longitude': -73.992054}","['pickup', 'delivery']",$$,"{'address1': '115A Division St', 'address2': None, 'address3': '', 'city': 'New York', 'zip_code': '10002', 'country': 'US', 'state': 'NY', 'display_address': ['115A Division St', 'New York, NY 10002']}",+16463602284,(646) 360-2284,1007.9224803527684
MauzeeZM7S-wUk_G98Ybrg,mei-lai-wah-bakery-new-york,Mei Lai Wah Bakery,https://s3-media2.fl.yelpcdn.com/bphoto/vYO673Wa6jyOc8VzQLTjRw/o.jpg,False,https://www.yelp.com/biz/mei-lai-wah-bakery-new-york?adjust_creative=Mra4JCUPAsrzN2f8nCOuQg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mra4JCUPAsrzN2f8nCOuQg,1735,"[{'alias': 'bakeries', 'title': 'Bakeries'}, {'alias': 'dimsum', 'title': 'Dim Sum'}, {'alias': 'noodles', 'title': 'Noodles'}]",4.0,"{'latitude': 40.7155758, 'longitude': -73.9979585}","['pickup', 'delivery']",$,"{'address1': '64 Bayard St', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10013', 'country': 'US', 'state': 'NY', 'display_address': ['64 Bayard St', 'New York, NY 10013']}",+12129667866,(212) 966-7866,1158.7532130470004
ga6sRtE0l85iftw_5-W84Q,dominique-ansel-bakery-new-york,Dominique Ansel Bakery,https://s3-media3.fl.yelpcdn.com/bphoto/ZgNVcBgeREThhB-FQXz51Q/o.jpg,False,https://www.yelp.com/biz/dominique-ansel-bakery-new-york?adjust_creative=Mra4JCUPAsrzN2f8nCOuQg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mra4JCUPAsrzN2f8nCOuQg,5384,"[{'alias': 'bakeries', 'title': 'Bakeries'}, {'alias': 'desserts', 'title': 'Desserts'}]",4.0,"{'latitude': 40.72516, 'longitude': -74.00296}",['delivery'],$$,"{'address1': '189 Spring St', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10012', 'country': 'US', 'state': 'NY', 'display_address': ['189 Spring St', 'New York, NY 10012']}",+12122192773,(212) 219-2773,2312.769277430363
0tJEDmeNMLueSGLNTF0JFg,angelina-bakery-new-york,Angelina Bakery,https://s3-media2.fl.yelpcdn.com/bphoto/oKkK8h-AuiK8Gc8E52duiw/o.jpg,False,https://www.yelp.com/biz/angelina-bakery-new-york?adjust_creative=Mra4JCUPAsrzN2f8nCOuQg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mra4JCUPAsrzN2f8nCOuQg,609,"[{'alias': 'bakeries', 'title': 'Bakeries'}, {'alias': 'desserts', 'title': 'Desserts'}, {'alias': 'donuts', 'title': 'Donuts'}]",4.5,"{'latitude': 40.75498, 'longitude': -73.99166}","['pickup', 'delivery']",$$,"{'address1': '575 8th Ave', 'address2': None, 'address3': '', 'city': 'New York', 'zip_code': '10018', 'country': 'US', 'state': 'NY', 'display_address': ['575 8th Ave', 'New York, NY 10018']}",+12126877100,(212) 687-7100,5517.176680724608
zMzH5TN6uieQj_mM68aUkw,l-appartement-4f-brooklyn,L'Appartement 4F,https://s3-media2.fl.yelpcdn.com/bphoto/Ox6PejYjs6v9O25uhIqNnA/o.jpg,False,https://www.yelp.com/biz/l-appartement-4f-brooklyn?adjust_creative=Mra4JCUPAsrzN2f8nCOuQg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mra4JCUPAsrzN2f8nCOuQg,181,"[{'alias': 'bakeries', 'title': 'Bakeries'}]",4.0,"{'latitude': 40.69521417249751, 'longitude': -73.99478573089799}",[],$$,"{'address1': '115 Montague St', 'address2': '', 'address3': None, 'city': 'Brooklyn', 'zip_code': '11201', 'country': 'US', 'state': 'NY', 'display_address': ['115 Montague St', 'Brooklyn, NY 11201']}",,,1138.357199778782
H4jJ7XB3CetIr1pg56CczQ,levain-bakery-new-york-new-york-2,"Levain Bakery - Original Location, 74th St, NYC",https://s3-media3.fl.yelpcdn.com/bphoto/q48fU42NPeJoz_VMPjB05w/o.jpg,False,https://www.yelp.com/biz/levain-bakery-new-york-new-york-2?adjust_creative=Mra4JCUPAsrzN2f8nCOuQg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mra4JCUPAsrzN2f8nCOuQg,9638,"[{'alias': 'bakeries', 'title': 'Bakeries'}]",4.5,"{'latitude': 40.779961, 'longitude': -73.980299}","['pickup', 'delivery']",$$,"{'address1': '167 W 74th St', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10023', 'country': 'US', 'state': 'NY', 'display_address': ['167 W 74th St', 'New York, NY 10023']}",+19174643769,(917) 464-3769,8369.262424680568
M2CSxMwbkwJr_G_Bzp7Y5Q,mah-ze-dahr-bakery-new-york,Mah-Ze-Dahr Bakery,https://s3-media3.fl.yelpcdn.com/bphoto/rC98Idk_yKUdYo1AfQP_AQ/o.jpg,False,https://www.yelp.com/biz/mah-ze-dahr-bakery-new-york?adjust_creative=Mra4JCUPAsrzN2f8nCOuQg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mra4JCUPAsrzN2f8nCOuQg,460,"[{'alias': 'bakeries', 'title': 'Bakeries'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'donuts', 'title': 'Donuts'}]",4.5,"{'latitude': 40.73503, 'longitude': -74.00002}",['delivery'],$$,"{'address1': '28 Greenwich Ave', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10011', 'country': 'US', 'state': 'NY', 'display_address': ['28 Greenwich Ave', 'New York, NY 10011']}",+12124989810,(212) 498-9810,3329.046042624273
b5x-Fw7I7Y88TdFIzvbsnw,supermoon-bakehouse-new-york,Supermoon Bakehouse,https://s3-media1.fl.yelpcdn.com/bphoto/2_NRG9aWYqcTp718ov32Pg/o.jpg,False,https://www.yelp.com/biz/supermoon-bakehouse-new-york?adjust_creative=Mra4JCUPAsrzN2f8nCOuQg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mra4JCUPAsrzN2f8nCOuQg,986,"[{'alias': 'bakeries', 'title': 'Bakeries'}, {'alias': 'desserts', 'title': 'Desserts'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]",4.5,"{'latitude': 40.71991, 'longitude': -73.9872}","['pickup', 'delivery']",$$,"{'address1': '120 Rivington St', 'address2': '', 'address3': None, 'city': 'New York', 'zip_code': '10002', 'country': 'US', 'state': 'NY', 'display_address': ['120 Rivington St', 'New York, NY 10002']}",+13476541211,(347) 654-1211,1714.9424016310745
-k_5NsYnKCHGTdBaqegkrw,le-fournil-new-york,Le Fournil,https://s3-media2.fl.yelpcdn.com/bphoto/JxNmFcQ0ePH6U9ZNDQCS9w/o.jpg,False,https://www.yelp.com/biz/le-fournil-new-york?adjust_creative=Mra4JCUPAsrzN2f8nCOuQg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mra4JCUPAsrzN2f8nCOuQg,118,"[{'alias': 'bakeries', 'title': 'Bakeries'}]",4.5,"{'latitude': 40.727947, 'longitude': -73.988489}",['delivery'],$$,"{'address1': '115 2nd Ave', 'address2': '', 'address3': None, 'city': 'New York', 'zip_code': '10003', 'country': 'US', 'state': 'NY', 'display_address': ['115 2nd Ave', 'New York, NY 10003']}",,,2548.470476989717
G8uQtDQ53aBIwNff1k0wgA,kam-hing-bakery-new-york,Kam Hing Bakery,https://s3-media2.fl.yelpcdn.com/bphoto/CxRpze0CdBffqJFT6tcbQw/o.jpg,False,https://www.yelp.com/biz/kam-hing-bakery-new-york?adjust_creative=Mra4JCUPAsrzN2f8nCOuQg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mra4JCUPAsrzN2f8nCOuQg,909,"[{'alias': 'bakeries', 'title': 'Bakeries'}]",4.5,"{'latitude': 40.71805, 'longitude': -73.99925}","['pickup', 'delivery']",$,"{'address1': '118 Baxter St', 'address2': 'Ground Fl', 'address3': None, 'city': 'New York', 'zip_code': '10013', 'country': 'US', 'state': 'NY', 'display_address': ['118 Baxter St', 'Ground Fl', 'New York, NY 10013']}",+16465527867,(646) 552-7867,1461.0311117441745
