id,alias,name,image_url,is_closed,url,review_count,categories,rating,coordinates,transactions,price,location,phone,display_phone,distance
lWOkeS-wV4no8qqA9OwwEg,doughnut-plant-new-york-6,Doughnut Plant,https://s3-media1.fl.yelpcdn.com/bphoto/hLWKXsLv6hyltNSilBy8-g/o.jpg,False,https://www.yelp.com/biz/doughnut-plant-new-york-6?adjust_creative=Mra4JCUPAsrzN2f8nCOuQg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mra4JCUPAsrzN2f8nCOuQg,3442,"[{'alias': 'donuts', 'title': 'Donuts'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}]",4.5,"{'latitude': 40.716337, 'longitude': -73.988577}","['pickup', 'delivery']",$$,"{'address1': '379 Grand St', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10002', 'country': 'US', 'state': 'NY', 'display_address': ['379 Grand St', 'New York, NY 10002']}",+12125053700,(212) 505-3700,1299.7257896622125
oDRZt37ROqadlK3-VI0PfQ,alimama-new-york-3,Alimama,https://s3-media2.fl.yelpcdn.com/bphoto/P8lTLUP_C89JBv6qKOEAdQ/o.jpg,False,https://www.yelp.com/biz/alimama-new-york-3?adjust_creative=Mra4JCUPAsrzN2f8nCOuQg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mra4JCUPAsrzN2f8nCOuQg,1797,"[{'alias': 'desserts', 'title': 'Desserts'}, {'alias': 'donuts', 'title': 'Donuts'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}]",4.5,"{'latitude': 40.715768, 'longitude': -73.9992981}","['pickup', 'delivery']",$$,"{'address1': '89A Bayard St', 'address2': '', 'address3': None, 'city': 'New York', 'zip_code': '10013', 'country': 'US', 'state': 'NY', 'display_address': ['89A Bayard St', 'New York, NY 10013']}",+12122357288,(212) 235-7288,1220.0329247070504
Z_jHSj127fqMDpsKe3NLjg,the-donut-pub-new-york-7,The Donut Pub,https://s3-media4.fl.yelpcdn.com/bphoto/OtElsZvxJZQUJ38pc_GMpw/o.jpg,False,https://www.yelp.com/biz/the-donut-pub-new-york-7?adjust_creative=Mra4JCUPAsrzN2f8nCOuQg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mra4JCUPAsrzN2f8nCOuQg,247,"[{'alias': 'donuts', 'title': 'Donuts'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]",4.0,"{'latitude': 40.729845, 'longitude': -73.992809}","['pickup', 'delivery']",$,"{'address1': '740 Broadway', 'address2': '', 'address3': None, 'city': 'New York', 'zip_code': '10003', 'country': 'US', 'state': 'NY', 'display_address': ['740 Broadway', 'New York, NY 10003']}",+16469741221,(646) 974-1221,2711.3092319922707
c6UUcUTbwbk0kOpF6jVOJQ,the-doughnut-project-new-york,The Doughnut Project,https://s3-media3.fl.yelpcdn.com/bphoto/I2ROc7eMXaUziMXdK9Yf8A/o.jpg,False,https://www.yelp.com/biz/the-doughnut-project-new-york?adjust_creative=Mra4JCUPAsrzN2f8nCOuQg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mra4JCUPAsrzN2f8nCOuQg,600,"[{'alias': 'donuts', 'title': 'Donuts'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}]",4.5,"{'latitude': 40.731151, 'longitude': -74.003547}","['pickup', 'delivery']",$$,"{'address1': '10 Morton St', 'address2': None, 'address3': '', 'city': 'New York', 'zip_code': '10014', 'country': 'US', 'state': 'NY', 'display_address': ['10 Morton St', 'New York, NY 10014']}",+12126915000,(212) 691-5000,2964.428663792995
ZMQzXIiqdBIuicFySTWGKg,dough-new-york-2,Dough,https://s3-media3.fl.yelpcdn.com/bphoto/xy4PdpngnjdmuJzYpwfrig/o.jpg,False,https://www.yelp.com/biz/dough-new-york-2?adjust_creative=Mra4JCUPAsrzN2f8nCOuQg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mra4JCUPAsrzN2f8nCOuQg,1682,"[{'alias': 'desserts', 'title': 'Desserts'}, {'alias': 'donuts', 'title': 'Donuts'}, {'alias': 'bakeries', 'title': 'Bakeries'}]",4.0,"{'latitude': 40.73931, 'longitude': -73.99243}","['pickup', 'delivery']",$$,"{'address1': '14 W 19th St', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10011', 'country': 'US', 'state': 'NY', 'display_address': ['14 W 19th St', 'New York, NY 10011']}",+12122436844,(212) 243-6844,3771.936848199482
HcgAK_DDdUfBqxcPh4pRsQ,fan-fan-doughnuts-brooklyn,Fan Fan Doughnuts,https://s3-media2.fl.yelpcdn.com/bphoto/YP5EF0XR0MLyhekj8uLD0g/o.jpg,False,https://www.yelp.com/biz/fan-fan-doughnuts-brooklyn?adjust_creative=Mra4JCUPAsrzN2f8nCOuQg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mra4JCUPAsrzN2f8nCOuQg,201,"[{'alias': 'donuts', 'title': 'Donuts'}, {'alias': 'bakeries', 'title': 'Bakeries'}]",4.5,"{'latitude': 40.68913729212589, 'longitude': -73.9570607}","['pickup', 'delivery']",$$,"{'address1': '448 Lafayette Ave', 'address2': '', 'address3': '', 'city': 'Brooklyn', 'zip_code': '11205', 'country': 'US', 'state': 'NY', 'display_address': ['448 Lafayette Ave', 'Brooklyn, NY 11205']}",+13475337544,(347) 533-7544,3624.9832166376764
O0xFECgTDf1rbZzW9qUULQ,peter-pan-donut-and-pastry-shop-brooklyn-2,Peter Pan Donut & Pastry Shop,https://s3-media2.fl.yelpcdn.com/bphoto/Gp6R_pTDQ0cRKro0Eyv2CQ/o.jpg,False,https://www.yelp.com/biz/peter-pan-donut-and-pastry-shop-brooklyn-2?adjust_creative=Mra4JCUPAsrzN2f8nCOuQg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mra4JCUPAsrzN2f8nCOuQg,1606,"[{'alias': 'bakeries', 'title': 'Bakeries'}, {'alias': 'donuts', 'title': 'Donuts'}, {'alias': 'cakeshop', 'title': 'Patisserie/Cake Shop'}]",4.5,"{'latitude': 40.726086, 'longitude': -73.952308}",['delivery'],$,"{'address1': '727 Manhattan Ave', 'address2': None, 'address3': '', 'city': 'Brooklyn', 'zip_code': '11222', 'country': 'US', 'state': 'NY', 'display_address': ['727 Manhattan Ave', 'Brooklyn, NY 11222']}",+17183893676,(718) 389-3676,4217.718983924479
Kn2OFKg_1zwj9J2ewVUJqg,cloudy-donut-co-brooklyn,Cloudy Donut Co,https://s3-media4.fl.yelpcdn.com/bphoto/iGoScgf0G4r0VKvnqFAnkw/o.jpg,False,https://www.yelp.com/biz/cloudy-donut-co-brooklyn?adjust_creative=Mra4JCUPAsrzN2f8nCOuQg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mra4JCUPAsrzN2f8nCOuQg,37,"[{'alias': 'donuts', 'title': 'Donuts'}, {'alias': 'vegan', 'title': 'Vegan'}]",4.0,"{'latitude': 40.69325449825682, 'longitude': -73.99878559999999}",[],$,"{'address1': '14 Columbia Pl', 'address2': '', 'address3': None, 'city': 'Brooklyn', 'zip_code': '11201', 'country': 'US', 'state': 'NY', 'display_address': ['14 Columbia Pl', 'Brooklyn, NY 11201']}",+13474639628,(347) 463-9628,1407.415919685195
0tJEDmeNMLueSGLNTF0JFg,angelina-bakery-new-york,Angelina Bakery,https://s3-media2.fl.yelpcdn.com/bphoto/oKkK8h-AuiK8Gc8E52duiw/o.jpg,False,https://www.yelp.com/biz/angelina-bakery-new-york?adjust_creative=Mra4JCUPAsrzN2f8nCOuQg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mra4JCUPAsrzN2f8nCOuQg,609,"[{'alias': 'bakeries', 'title': 'Bakeries'}, {'alias': 'desserts', 'title': 'Desserts'}, {'alias': 'donuts', 'title': 'Donuts'}]",4.5,"{'latitude': 40.75498, 'longitude': -73.99166}","['pickup', 'delivery']",$$,"{'address1': '575 8th Ave', 'address2': None, 'address3': '', 'city': 'New York', 'zip_code': '10018', 'country': 'US', 'state': 'NY', 'display_address': ['575 8th Ave', 'New York, NY 10018']}",+12126877100,(212) 687-7100,5517.176680724608
L7TqvvDDjhNuez5gG4c40w,hidden-grounds-coffee-brooklyn-brooklyn,Hidden Grounds Coffee - Brooklyn,https://s3-media1.fl.yelpcdn.com/bphoto/GSIAKIej5CZywAW9qYtxfA/o.jpg,False,https://www.yelp.com/biz/hidden-grounds-coffee-brooklyn-brooklyn?adjust_creative=Mra4JCUPAsrzN2f8nCOuQg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mra4JCUPAsrzN2f8nCOuQg,26,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'bakeries', 'title': 'Bakeries'}, {'alias': 'donuts', 'title': 'Donuts'}]",4.5,"{'latitude': 40.71227, 'longitude': -73.95117}","['pickup', 'delivery']",,"{'address1': '400 Union Ave', 'address2': None, 'address3': '', 'city': 'Brooklyn', 'zip_code': '11211', 'country': 'US', 'state': 'NY', 'display_address': ['400 Union Ave', 'Brooklyn, NY 11211']}",+19292093327,(929) 209-3327,3722.8213208946563
ga6sRtE0l85iftw_5-W84Q,dominique-ansel-bakery-new-york,Dominique Ansel Bakery,https://s3-media3.fl.yelpcdn.com/bphoto/ZgNVcBgeREThhB-FQXz51Q/o.jpg,False,https://www.yelp.com/biz/dominique-ansel-bakery-new-york?adjust_creative=Mra4JCUPAsrzN2f8nCOuQg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mra4JCUPAsrzN2f8nCOuQg,5384,"[{'alias': 'bakeries', 'title': 'Bakeries'}, {'alias': 'desserts', 'title': 'Desserts'}]",4.0,"{'latitude': 40.72516, 'longitude': -74.00296}",['delivery'],$$,"{'address1': '189 Spring St', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10012', 'country': 'US', 'state': 'NY', 'display_address': ['189 Spring St', 'New York, NY 10012']}",+12122192773,(212) 219-2773,2312.769277430363
jgaDo7PElSG6BKXrqVz-kg,doughnut-plant-brooklyn-2,Doughnut Plant,https://s3-media2.fl.yelpcdn.com/bphoto/tbMvcHx-K6T6R6jPMRPsBA/o.jpg,False,https://www.yelp.com/biz/doughnut-plant-brooklyn-2?adjust_creative=Mra4JCUPAsrzN2f8nCOuQg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mra4JCUPAsrzN2f8nCOuQg,62,"[{'alias': 'donuts', 'title': 'Donuts'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}]",4.0,"{'latitude': 40.7174797, 'longitude': -73.9583136}","['pickup', 'delivery']",,"{'address1': '198 Bedford Ave', 'address2': '', 'address3': None, 'city': 'Brooklyn', 'zip_code': '11249', 'country': 'US', 'state': 'NY', 'display_address': ['198 Bedford Ave', 'Brooklyn, NY 11249']}",+12125053700,(212) 505-3700,3311.332190135505
7vUD50hjmw1Odi0HDCXIeg,angelina-brooklyn-brooklyn,Angelina - Brooklyn,https://s3-media3.fl.yelpcdn.com/bphoto/jk18rrj6qdirV83Kvf1G1w/o.jpg,False,https://www.yelp.com/biz/angelina-brooklyn-brooklyn?adjust_creative=Mra4JCUPAsrzN2f8nCOuQg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mra4JCUPAsrzN2f8nCOuQg,3,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'bakeries', 'title': 'Bakeries'}, {'alias': 'donuts', 'title': 'Donuts'}]",3.0,"{'latitude': 40.686614, 'longitude': -73.975809}","['pickup', 'delivery']",,"{'address1': '660 Fulton St', 'address2': None, 'address3': '', 'city': 'Brooklyn', 'zip_code': '11217', 'country': 'US', 'state': 'NY', 'display_address': ['660 Fulton St', 'Brooklyn, NY 11217']}",+13475590700,(347) 559-0700,2609.409113359041
vFdyNlTjIPwOijgm0MJD4A,brandons-donuts-new-york,Brandon's Donuts,https://s3-media4.fl.yelpcdn.com/bphoto/gw138PNQJrSwDPM4DMyHlg/o.jpg,False,https://www.yelp.com/biz/brandons-donuts-new-york?adjust_creative=Mra4JCUPAsrzN2f8nCOuQg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mra4JCUPAsrzN2f8nCOuQg,53,"[{'alias': 'donuts', 'title': 'Donuts'}, {'alias': 'bakeries', 'title': 'Bakeries'}, {'alias': 'desserts', 'title': 'Desserts'}]",4.5,"{'latitude': 40.67767, 'longitude': -73.997983}","['pickup', 'delivery']",,"{'address1': '449 Court St', 'address2': None, 'address3': '', 'city': 'New York', 'zip_code': '11231', 'country': 'US', 'state': 'NY', 'display_address': ['449 Court St', 'New York, NY 11231']}",+19293376354,(929) 337-6354,3106.2366071760916
jWC4mD-yy-IzuZxU5ctAKw,mias-bakery-brooklyn,Mia's Bakery,https://s3-media1.fl.yelpcdn.com/bphoto/KYDWqNIFIuefvs4BBJQtqw/o.jpg,False,https://www.yelp.com/biz/mias-bakery-brooklyn?adjust_creative=Mra4JCUPAsrzN2f8nCOuQg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mra4JCUPAsrzN2f8nCOuQg,1092,"[{'alias': 'bakeries', 'title': 'Bakeries'}, {'alias': 'cafes', 'title': 'Cafes'}, {'alias': 'desserts', 'title': 'Desserts'}]",4.5,"{'latitude': 40.6870199, 'longitude': -73.9901299}","['pickup', 'delivery']",$$,"{'address1': '139 Smith St', 'address2': None, 'address3': '', 'city': 'Brooklyn', 'zip_code': '11201', 'country': 'US', 'state': 'NY', 'display_address': ['139 Smith St', 'Brooklyn, NY 11201']}",+13479873194,(347) 987-3194,2081.025885948994
b5x-Fw7I7Y88TdFIzvbsnw,supermoon-bakehouse-new-york,Supermoon Bakehouse,https://s3-media1.fl.yelpcdn.com/bphoto/2_NRG9aWYqcTp718ov32Pg/o.jpg,False,https://www.yelp.com/biz/supermoon-bakehouse-new-york?adjust_creative=Mra4JCUPAsrzN2f8nCOuQg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mra4JCUPAsrzN2f8nCOuQg,986,"[{'alias': 'bakeries', 'title': 'Bakeries'}, {'alias': 'desserts', 'title': 'Desserts'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]",4.5,"{'latitude': 40.71991, 'longitude': -73.9872}","['pickup', 'delivery']",$$,"{'address1': '120 Rivington St', 'address2': '', 'address3': None, 'city': 'New York', 'zip_code': '10002', 'country': 'US', 'state': 'NY', 'display_address': ['120 Rivington St', 'New York, NY 10002']}",+13476541211,(347) 654-1211,1714.9424016310745
AI680OnsLsoCro-0hYF1aQ,michaeli-bakery-new-york-2,Michaeli Bakery,https://s3-media3.fl.yelpcdn.com/bphoto/yy3ekKKH5CI0e6kglDx7gQ/o.jpg,False,https://www.yelp.com/biz/michaeli-bakery-new-york-2?adjust_creative=Mra4JCUPAsrzN2f8nCOuQg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mra4JCUPAsrzN2f8nCOuQg,158,"[{'alias': 'bakeries', 'title': 'Bakeries'}, {'alias': 'desserts', 'title': 'Desserts'}]",5.0,"{'latitude': 40.714349, 'longitude': -73.992054}","['pickup', 'delivery']",$$,"{'address1': '115A Division St', 'address2': None, 'address3': '', 'city': 'New York', 'zip_code': '10002', 'country': 'US', 'state': 'NY', 'display_address': ['115A Division St', 'New York, NY 10002']}",+16463602284,(646) 360-2284,1007.9224803527684
M2CSxMwbkwJr_G_Bzp7Y5Q,mah-ze-dahr-bakery-new-york,Mah-Ze-Dahr Bakery,https://s3-media3.fl.yelpcdn.com/bphoto/rC98Idk_yKUdYo1AfQP_AQ/o.jpg,False,https://www.yelp.com/biz/mah-ze-dahr-bakery-new-york?adjust_creative=Mra4JCUPAsrzN2f8nCOuQg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mra4JCUPAsrzN2f8nCOuQg,460,"[{'alias': 'bakeries', 'title': 'Bakeries'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'donuts', 'title': 'Donuts'}]",4.5,"{'latitude': 40.73503, 'longitude': -74.00002}",['delivery'],$$,"{'address1': '28 Greenwich Ave', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10011', 'country': 'US', 'state': 'NY', 'display_address': ['28 Greenwich Ave', 'New York, NY 10011']}",+12124989810,(212) 498-9810,3329.046042624273
