,id,name,review_count,category,rating,phone,display_phone,price,coord_lat,coord_long
0,epvSBt9LldIgyc08f8nIAw,La Bicyclette Bakery,3,bakeries,4.5,,,, 40.68358704921419, -73.99509019999999
2,-k_5NsYnKCHGTdBaqegkrw,Le Fournil,118,bakeries,4.5,,,$$, 40.727947, -73.988489
4,0kW0112jMERVjpRzWT4F7Q,La Bicyclette Bakery,84,bakeries,5.0,13479161417.0,(347) 916-1417,, 40.714400045936806, -73.95911000669003
6,XSwagBljEsxG2i1rq4GEAQ,Almondine Bakery,404,bakeries,4.0,17187975026.0,(718) 797-5026,$$, 40.7033174, -73.9912506
8,fPQ2eE9lm8tc87O5-GLjyA,Mille-Feuille Bakery,441,coffee,4.5,12123626261.0,(212) 362-6261,$$, 40.782425, -73.9811603
10,fPQ2eE9lm8tc87O5-GLjyA,Mille-Feuille Bakery,441,bakeries,4.5,12123626261.0,(212) 362-6261,$$, 40.782425, -73.9811603
12,ga6sRtE0l85iftw_5-W84Q,Dominique Ansel Bakery,5384,bakeries,4.0,12122192773.0,(212) 219-2773,$$, 40.72516, -74.00296
14,ga6sRtE0l85iftw_5-W84Q,Dominique Ansel Bakery,5384,desserts,4.0,12122192773.0,(212) 219-2773,$$, 40.72516, -74.00296
16,nkssBtuLaKgxeLfNJjnSeQ,Bread Story New York,74,bakeries,4.5,13476333780.0,(347) 633-3780,, 40.731988819247285, -73.98156216802064
18,nkssBtuLaKgxeLfNJjnSeQ,Bread Story New York,74,cakeshop,4.5,13476333780.0,(347) 633-3780,, 40.731988819247285, -73.98156216802064
20,nkssBtuLaKgxeLfNJjnSeQ,Bread Story New York,74,desserts,4.5,13476333780.0,(347) 633-3780,, 40.731988819247285, -73.98156216802064
22,KgpOYAG-r_eDsQXFXt0nnQ,Balthazar,3619,french,4.0,12129651414.0,(212) 965-1414,$$$, 40.7226892950401, -73.9982149184027
25,KgpOYAG-r_eDsQXFXt0nnQ,Balthazar,3619,breakfast&brunch,4.0,12129651414.0,(212) 965-1414,$$$, 40.7226892950401, -73.9982149184027
26,xTnivXEdEtXrnhp-z4JGvg,La Parisienne,843,cafes,4.5,16467564911.0,(646) 756-4911,$$, 40.70961, -74.0093799
29,xTnivXEdEtXrnhp-z4JGvg,La Parisienne,843,breakfast&brunch,4.5,16467564911.0,(646) 756-4911,$$, 40.70961, -74.0093799
31,xTnivXEdEtXrnhp-z4JGvg,La Parisienne,843,winebars,4.5,16467564911.0,(646) 756-4911,$$, 40.70961, -74.0093799
32,KakiWGOfm_h5rEqOyKD7zQ,Dominique Ansel Workshop,191,bakeries,4.0,12129011015.0,(212) 901-1015,$$, 40.74368, -73.98658
34,KakiWGOfm_h5rEqOyKD7zQ,Dominique Ansel Workshop,191,coffee,4.0,12129011015.0,(212) 901-1015,$$, 40.74368, -73.98658
37,KakiWGOfm_h5rEqOyKD7zQ,Dominique Ansel Workshop,191,breakfast&brunch,4.0,12129011015.0,(212) 901-1015,$$, 40.74368, -73.98658
38,b5x-Fw7I7Y88TdFIzvbsnw,Supermoon Bakehouse,986,bakeries,4.5,13476541211.0,(347) 654-1211,$$, 40.71991, -73.9872
40,b5x-Fw7I7Y88TdFIzvbsnw,Supermoon Bakehouse,986,desserts,4.5,13476541211.0,(347) 654-1211,$$, 40.71991, -73.9872
42,b5x-Fw7I7Y88TdFIzvbsnw,Supermoon Bakehouse,986,sandwiches,4.5,13476541211.0,(347) 654-1211,$$, 40.71991, -73.9872
44,Wv6jzavopKvQT7RqeXttKA,Le Petit Monstre,55,cakeshop,4.5,,,$$, 40.69631115490488, -73.96770130204715
46,Wv6jzavopKvQT7RqeXttKA,Le Petit Monstre,55,vegan,4.5,,,$$, 40.69631115490488, -73.96770130204715
48,Wv6jzavopKvQT7RqeXttKA,Le Petit Monstre,55,gardening,4.5,,,$$, 40.69631115490488, -73.96770130204715
49,Wv6jzavopKvQT7RqeXttKA,Le Petit Monstre,55,nurseries&gardening,4.5,,,$$, 40.69631115490488, -73.96770130204715
