id,alias,name,image_url,is_closed,url,review_count,categories,rating,coordinates,transactions,price,location,phone,display_phone,distance
rVJ57CwEcucZg1k_y8u3Rg,patisserie-fouet-new-york,Patisserie Fouet,https://s3-media1.fl.yelpcdn.com/bphoto/Wn2bCOwelk2YXO0pkgUtVQ/o.jpg,False,https://www.yelp.com/biz/patisserie-fouet-new-york?adjust_creative=Mra4JCUPAsrzN2f8nCOuQg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mra4JCUPAsrzN2f8nCOuQg,437,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'desserts', 'title': 'Desserts'}, {'alias': 'wine_bars', 'title': 'Wine Bars'}]",4.0,"{'latitude': 40.735034, 'longitude': -73.993047}","['pickup', 'delivery']",$$,"{'address1': '15 E 13th St', 'address2': '', 'address3': None, 'city': 'New York', 'zip_code': '10003', 'country': 'US', 'state': 'NY', 'display_address': ['15 E 13th St', 'New York, NY 10003']}",+12126200622,(212) 620-0622,3291.833916830272
fvDZVAvv_g4L-WWkbDpCXg,patisserie-claude-new-york,Patisserie Claude,https://s3-media1.fl.yelpcdn.com/bphoto/pbL_trMOpVtW_rzGn0qPeQ/o.jpg,False,https://www.yelp.com/biz/patisserie-claude-new-york?adjust_creative=Mra4JCUPAsrzN2f8nCOuQg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mra4JCUPAsrzN2f8nCOuQg,273,"[{'alias': 'bakeries', 'title': 'Bakeries'}, {'alias': 'desserts', 'title': 'Desserts'}, {'alias': 'cafes', 'title': 'Cafes'}]",4.0,"{'latitude': 40.7327402, 'longitude': -74.0018208}","['pickup', 'delivery']",$,"{'address1': '187 W 4th St', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10014', 'country': 'US', 'state': 'NY', 'display_address': ['187 W 4th St', 'New York, NY 10014']}",+12122555911,(212) 255-5911,3094.0515887033007
meVzfRH_wLAJjcrCAhkh1g,patisserie-chanson-new-york-3,Patisserie Chanson,https://s3-media4.fl.yelpcdn.com/bphoto/l_xOozun3Sotobzb89sOXw/o.jpg,False,https://www.yelp.com/biz/patisserie-chanson-new-york-3?adjust_creative=Mra4JCUPAsrzN2f8nCOuQg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mra4JCUPAsrzN2f8nCOuQg,506,"[{'alias': 'desserts', 'title': 'Desserts'}, {'alias': 'bakeries', 'title': 'Bakeries'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]",4.0,"{'latitude': 40.7417, 'longitude': -73.990571}","['pickup', 'delivery']",$$,"{'address1': '20 W 23rd St', 'address2': '', 'address3': None, 'city': 'New York', 'zip_code': '10010', 'country': 'US', 'state': 'NY', 'display_address': ['20 W 23rd St', 'New York, NY 10010']}",+19294238880,(929) 423-8880,4045.2541988512426
qXuUBEaib4caLC6WCPhBjA,patisserie-tomoko-brooklyn-2,Patisserie Tomoko,https://s3-media4.fl.yelpcdn.com/bphoto/JCQ9XF_MM0ExTy1e9s12gg/o.jpg,False,https://www.yelp.com/biz/patisserie-tomoko-brooklyn-2?adjust_creative=Mra4JCUPAsrzN2f8nCOuQg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mra4JCUPAsrzN2f8nCOuQg,419,"[{'alias': 'desserts', 'title': 'Desserts'}, {'alias': 'bakeries', 'title': 'Bakeries'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}]",4.5,"{'latitude': 40.7176114, 'longitude': -73.9519192}","['pickup', 'delivery']",$$,"{'address1': '568 Union Ave', 'address2': '', 'address3': '', 'city': 'Brooklyn', 'zip_code': '11211', 'country': 'US', 'state': 'NY', 'display_address': ['568 Union Ave', 'Brooklyn, NY 11211']}",+17183887121,(718) 388-7121,3819.1739527873074
Yeyu5eTxwQLwAzixJpQ05Q,petit-chou-new-york,Petit Chou,https://s3-media3.fl.yelpcdn.com/bphoto/OLm3tia-bRfhUtnEG1sNUw/o.jpg,False,https://www.yelp.com/biz/petit-chou-new-york?adjust_creative=Mra4JCUPAsrzN2f8nCOuQg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mra4JCUPAsrzN2f8nCOuQg,149,"[{'alias': 'bakeries', 'title': 'Bakeries'}, {'alias': 'cakeshop', 'title': 'Patisserie/Cake Shop'}, {'alias': 'desserts', 'title': 'Desserts'}]",4.5,"{'latitude': 40.731112, 'longitude': -73.983104}","['pickup', 'delivery']",$$,"{'address1': '229 1st Ave', 'address2': None, 'address3': '', 'city': 'New York', 'zip_code': '10003', 'country': 'US', 'state': 'NY', 'display_address': ['229 1st Ave', 'New York, NY 10003']}",+19174751620,(917) 475-1620,3005.982591646828
yt1VLifNQndVgDH15Asjow,pâtisserie-vanessa-new-york,Pâtisserie Vanessa,https://s3-media2.fl.yelpcdn.com/bphoto/zvzDUXDsf61SQNvtkq5Nhw/o.jpg,False,https://www.yelp.com/biz/p%C3%A2tisserie-vanessa-new-york?adjust_creative=Mra4JCUPAsrzN2f8nCOuQg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mra4JCUPAsrzN2f8nCOuQg,36,"[{'alias': 'bakeries', 'title': 'Bakeries'}]",4.5,"{'latitude': 40.781604, 'longitude': -73.954321}",[],,"{'address1': '1340 Lexington Ave', 'address2': '', 'address3': None, 'city': 'New York', 'zip_code': '10128', 'country': 'US', 'state': 'NY', 'display_address': ['1340 Lexington Ave', 'New York, NY 10128']}",,,9115.0407102421
5jykT4A_mz1lgWk6btnZbw,lady-wong-new-york,Lady Wong,https://s3-media3.fl.yelpcdn.com/bphoto/OgLViI70GHbdVEZdP7aLcg/o.jpg,False,https://www.yelp.com/biz/lady-wong-new-york?adjust_creative=Mra4JCUPAsrzN2f8nCOuQg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mra4JCUPAsrzN2f8nCOuQg,210,"[{'alias': 'bakeries', 'title': 'Bakeries'}, {'alias': 'desserts', 'title': 'Desserts'}]",4.5,"{'latitude': 40.72850883077059, 'longitude': -73.98615170270205}",[],,"{'address1': '332 E 9th St', 'address2': '', 'address3': None, 'city': 'New York', 'zip_code': '10003', 'country': 'US', 'state': 'NY', 'display_address': ['332 E 9th St', 'New York, NY 10003']}",+16464227189,(646) 422-7189,2654.7980615612532
-ky0aPdpcg46JLHdFtAp6A,pâtisserie-new-york,Pâtisserie,https://s3-media2.fl.yelpcdn.com/bphoto/qzW5UU5noZxhWliYv86R0g/o.jpg,False,https://www.yelp.com/biz/p%C3%A2tisserie-new-york?adjust_creative=Mra4JCUPAsrzN2f8nCOuQg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mra4JCUPAsrzN2f8nCOuQg,1,"[{'alias': 'cakeshop', 'title': 'Patisserie/Cake Shop'}]",5.0,"{'latitude': 40.706235370719206, 'longitude': -74.00230669999999}",[],,"{'address1': '96 South St', 'address2': '', 'address3': None, 'city': 'New York', 'zip_code': '10038', 'country': 'US', 'state': 'NY', 'display_address': ['96 South St', 'New York, NY 10038']}",,,681.1777220725597
0tJEDmeNMLueSGLNTF0JFg,angelina-bakery-new-york,Angelina Bakery,https://s3-media2.fl.yelpcdn.com/bphoto/oKkK8h-AuiK8Gc8E52duiw/o.jpg,False,https://www.yelp.com/biz/angelina-bakery-new-york?adjust_creative=Mra4JCUPAsrzN2f8nCOuQg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mra4JCUPAsrzN2f8nCOuQg,609,"[{'alias': 'bakeries', 'title': 'Bakeries'}, {'alias': 'desserts', 'title': 'Desserts'}, {'alias': 'donuts', 'title': 'Donuts'}]",4.5,"{'latitude': 40.75498, 'longitude': -73.99166}","['pickup', 'delivery']",$$,"{'address1': '575 8th Ave', 'address2': None, 'address3': '', 'city': 'New York', 'zip_code': '10018', 'country': 'US', 'state': 'NY', 'display_address': ['575 8th Ave', 'New York, NY 10018']}",+12126877100,(212) 687-7100,5517.176680724608
EsHFRpUbHEbYxjAxcxOdwQ,anntremet-cake-new-york-2,AnnTremet Cake,https://s3-media1.fl.yelpcdn.com/bphoto/8VOJtW7GBrQa58opzmDEqw/o.jpg,False,https://www.yelp.com/biz/anntremet-cake-new-york-2?adjust_creative=Mra4JCUPAsrzN2f8nCOuQg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mra4JCUPAsrzN2f8nCOuQg,81,"[{'alias': 'bakeries', 'title': 'Bakeries'}, {'alias': 'cakeshop', 'title': 'Patisserie/Cake Shop'}, {'alias': 'desserts', 'title': 'Desserts'}]",4.5,"{'latitude': 40.73854893771146, 'longitude': -74.00401289999999}","['pickup', 'delivery']",,"{'address1': '47 8th Ave', 'address2': None, 'address3': '', 'city': 'New York', 'zip_code': '10014', 'country': 'US', 'state': 'NY', 'display_address': ['47 8th Ave', 'New York, NY 10014']}",+16463719970,(646) 371-9970,3771.0343886270743
