,id,name,review_count,rating,phone,display_phone,price,coord_lat,coord_long,is_bakeries,is_desserts,is_icecream,is_cafe,is_donuts,is_cakeshop,is_bubbletea,is_chocolate,is_cupcakes,is_Other,rand_imp_price,knn_imp_price,is_successful,County
0,epvSBt9LldIgyc08f8nIAw,La Bicyclette Bakery,1.0986122886681098,20.25,0,0,,40.68358704921419,-73.9950902,1,0,0,0,0,0,0,0,0,0,1,2,0,Brooklyn
1,#NAME?,Le Fournil,4.770684624465665,20.25,0,0,2,40.727947,-73.988489,1,0,0,0,0,0,0,0,0,0,2,2,1,Manhattan
2,0kW0112jMERVjpRzWT4F7Q,La Bicyclette Bakery,4.430816798843313,25,1,1,,40.714400045936806,-73.95911001,1,0,0,0,0,0,0,0,0,0,1,2,1,Brooklyn
3,XSwagBljEsxG2i1rq4GEAQ,Almondine Bakery,6.0014148779611505,16,1,1,2,40.7033174,-73.9912506,1,0,0,0,0,0,0,0,0,0,2,2,1,Brooklyn
4,fPQ2eE9lm8tc87O5-GLjyA,Mille-Feuille Bakery,6.089044875446846,20.25,1,1,2,40.782425,-73.9811603,1,0,0,0,0,0,0,0,0,0,2,2,1,Manhattan
6,ga6sRtE0l85iftw_5-W84Q,Dominique Ansel Bakery,8.591186871324563,16,1,1,2,40.72516,-74.00296,1,1,0,0,0,0,0,0,0,0,2,2,1,Manhattan
8,nkssBtuLaKgxeLfNJjnSeQ,Bread Story New York,4.304065093,20.25,1,1,,40.731988819247285,-73.98156217,1,1,0,0,0,1,0,0,0,0,1,2,0,Manhattan
11,KgpOYAG-r_eDsQXFXt0nnQ,Balthazar,8.193953023563742,16,1,1,3,40.7226893,-73.99821492,0,0,0,0,0,0,0,0,0,0,3,3,1,Manhattan
13,xTnivXEdEtXrnhp-z4JGvg,La Parisienne,6.736966958001855,20.25,1,1,2,40.70961,-74.0093799,0,0,0,1,0,0,0,0,0,1,2,2,1,Manhattan
16,KakiWGOfm_h5rEqOyKD7zQ,Dominique Ansel Workshop,5.252273428,16,1,1,2,40.74368,-73.98658,1,0,0,0,0,0,0,0,0,0,2,2,1,Manhattan
19,b5x-Fw7I7Y88TdFIzvbsnw,Supermoon Bakehouse,6.893656354602635,20.25,1,1,2,40.71991,-73.9872,1,1,0,0,0,0,0,0,0,0,2,2,1,Manhattan
22,Wv6jzavopKvQT7RqeXttKA,Le Petit Monstre,4.007333185232471,20.25,0,0,2,40.69631115490488,-73.9677013,0,0,0,0,0,1,0,0,0,1,2,2,0,Brooklyn
26,J-jHnvA_D99YqaJAW6IM9w,Le French Tart Deli,3.4011973816621555,16,1,1,,40.6996979,-73.99207807,1,0,0,0,0,0,0,0,0,1,1,1,0,Brooklyn
29,YnPNXJvUsn2jymwBeLpQ4g,Mille-Feuille Bakery,5.043425116919247,20.25,1,1,,40.677621,-73.96912,1,0,0,0,0,0,0,0,0,1,1,2,1,Brooklyn
31,2VbJqKra1k-4GA4o6-FeTQ,Radio Bakery,3.1780538303479458,20.25,0,0,,40.73237,-73.95511,1,0,0,0,0,0,0,0,0,0,1,2,0,Brooklyn
34,inrdLiBjiJ_ngHXirw4pPg,Lysee,5.327876168789581,16,0,0,3,40.73917,-73.98819,0,1,0,0,0,0,0,0,0,1,3,3,1,Manhattan
37,jWC4mD-yy-IzuZxU5ctAKw,Mia's Bakery,6.9957661563048505,20.25,1,1,2,40.6870199,-73.9901299,1,1,0,1,0,0,0,0,0,0,2,2,1,Brooklyn
40,iTcxncdrcQRK1tdcbFIqGQ,Aux Merveilleux De Fred,6.124683390894205,20.25,1,1,2,40.73835064346807,-74.00412205,1,1,0,0,0,1,0,0,0,0,2,2,1,Manhattan
43,fb7u7SAvscRrCU7hLMjlEw,Frenchette Bakery,4.248495242049359,20.25,1,1,,40.716923,-74.0067618,1,0,0,0,0,0,0,0,0,0,1,1,0,Manhattan
44,h7M1s9arHO5dcMf-XxzOLA,Ebb & Flow Bakery,3.332204510175204,16,1,1,,40.69411,-74.0005,1,0,0,0,0,0,0,0,0,0,1,1,0,Brooklyn
47,meVzfRH_wLAJjcrCAhkh1g,Patisserie Chanson,6.226536669287466,16,1,1,2,40.7417,-73.990571,1,1,0,0,0,0,0,0,0,0,2,2,1,Manhattan
50,fvDZVAvv_g4L-WWkbDpCXg,Patisserie Claude,5.609471795,16,1,1,1,40.7327402,-74.0018208,1,1,0,1,0,0,0,0,0,0,1,1,1,Manhattan
53,XvGF2azJZ4iOjllnPDnT1A,Jack's Stir Brew Coffee,3.80666249,16,1,1,2,40.71941,-74.004901,1,0,0,0,0,0,0,0,0,1,2,2,0,Manhattan
55,aSDGr4NIfm1C6IspWSNaQw,Orwashers,6.244166900663736,16,1,1,2,40.772191,-73.95505,1,0,0,0,0,0,0,0,0,0,2,2,1,Manhattan
56,Sgh7Uar8wv6WKA-UZ7hcXA,Balthazar Boulangerie,5.976350909297934,16,1,1,2,40.72276,-73.99842,1,1,0,0,0,0,0,0,0,0,2,2,1,Manhattan
58,GVGhfMMEw2TrDh-GGVTUmA,Le French Tart Deli,3.8918202981106265,20.25,1,1,,40.683691,-73.995502,0,0,0,0,0,0,0,0,0,1,1,2,0,Brooklyn
61,qpj8kc8y3SgLA6GWkVgX3g,Partybus Bakeshop,4.1588830833596715,20.25,1,1,1,40.715981,-73.989862,1,0,0,0,0,0,0,0,0,0,1,1,0,Manhattan
64,mv3qOn0hKd3Zx9kJYxqFGw,Heritage Grand Bakery,4.189654742026425,20.25,1,1,,40.752312,-73.982668,1,0,0,0,0,0,0,0,0,0,1,1,0,Manhattan
66,9A2Kos-54qtumhZfOjJrsw,Delice Macarons,3.6635616461296463,20.25,1,1,,40.780741294755344,-73.97994394,0,0,0,0,0,0,0,0,0,1,1,3,0,Manhattan
67,VMSlE-GQZhcvkp2Mr03xfA,L'ami Pierre,3.332204510175204,16,0,0,,40.761320187028105,-73.9815026,1,0,0,0,0,0,0,0,0,0,1,1,0,Manhattan
70,WHRHK3S1mQc3PmhwsGRvbw,Bibble & Sip,8.644178203170727,20.25,1,1,2,40.7628355,-73.98518009,1,1,0,0,0,0,0,0,0,0,2,2,1,Manhattan
73,bvc5P9vmRiNhyVWjd5bVcg,Eclair Bakery,6.588926477533519,20.25,1,1,2,40.756689,-73.966617,1,0,0,0,0,0,0,0,0,1,2,2,1,Manhattan
76,g9R4NRonO1F8k77qv4Hx0A,Les Gateaux De Marie,3.258096538021482,20.25,1,1,,40.77445,-73.95093,1,0,0,0,0,1,0,0,1,0,1,2,0,Manhattan
